country,life_exp,log_gdp,ave_pop,Continent
Afghanistan,52.25454538454546,7.440942374181819,32316949.727272727,Asia
Albania,67.25454503818182,9.262285926,2897662.090909091,Europe
Algeria,65.17428588857142,9.509816578571428,38277100.36363637,Africa
Angola,53.55000019,8.713989973250001,26109610.90909091,Africa
Argentina,67.71538484999999,9.825670829,42225476.45454545,South America
Armenia,65.63076899615385,8.925997073769231,2909275.4545454546,Europe
Australia,72.46666653916667,10.660438220833333,23112854.90909091,Oceania
Austria,71.85818204090909,10.700700760909092,8535771.818181818,Europe
Azerbaijan,63.80000011846153,9.630238092923078,9398788.909090908,Europe
Bahrain,67.17111121222223,10.649533058888888,1330085.8181818181,Asia
Bangladesh,61.57692307769231,7.9088745483076925,152787057.1818182,Asia
Belarus,63.5461540223077,9.69012194423077,9467712.545454545,Europe
Belgium,71.050001145,10.633886734999999,11120322.0,Europe
Belize,61.909999845,8.9810562135,345402.0909090909,North America
Benin,52.539999771,7.5686161041,10039150.818181818,Africa
Bhutan,59.90000025333333,8.907667795666667,711287.1818181818,Asia
Bolivia,61.53846153846154,8.674751134923078,10540173.727272727,South America
Bosnia and Herzegovina,66.89272724545455,9.253979682818182,3543420.090909091,Europe
Botswana,54.580000444545455,9.593870076181817,2072922.5454545454,Africa
Brazil,64.98923052384615,9.563974233846155,200924540.45454547,South America
Bulgaria,66.059999847,9.7148798942,7262060.818181818,Europe
Burkina Faso,50.730000497499994,7.325637141916666,17131789.90909091,Africa
Burundi,50.916000368,6.6287601472,9585345.181818182,Africa
Cambodia,58.94615378769231,7.955888821538461,15041753.545454545,Asia
Cameroon,49.14615396307693,8.035231333538462,22140172.727272727,Africa
Canada,72.50922980692307,10.648498536153845,35079777.81818182,North America
Central African Republic,43.356001282,6.6604643822,4459834.0,Africa
Chad,45.700000175384616,7.5304067318461545,13262973.727272727,Africa
Chile,69.22307704076924,9.940409367692308,17636311.09090909,South America
China,67.96923006461539,9.284457133461538,1363142727.2727273,Asia
Colombia,66.25384580153846,9.370048156153846,46699636.90909091,South America
Comoros,55.324000548,7.256666946199999,742796.5454545454,Africa
Costa Rica,70.30000011692309,9.528552935692307,4737851.090909091,North America
Croatia,68.40545446272728,9.95892897590909,4231172.545454546,Europe
Cuba,68.44000244,9.67642498,11282747.181818182,North America
Cyprus,72.78181873636363,10.377583789000001,1140767.5454545454,Europe
Denmark,70.91076894923077,10.71853513,5632278.090909091,Europe
Djibouti,54.009999275,7.866400838000001,884938.4545454546,Africa
Dominican Republic,64.23076893769232,9.386959222615385,10046104.181818182,North America
Ecuador,67.16923170846154,9.205796975307692,15751946.181818182,South America
El Salvador,64.55384621230769,8.80710645823077,6270284.818181818,North America
Estonia,67.06666628416667,10.188165268333334,1323301.3636363635,Europe
Ethiopia,56.91428593285714,7.323557376714286,95654576.18181819,Africa
Finland,71.02181868181819,10.602655498181818,5428811.090909091,Europe
France,72.58769226076923,10.532054974615384,65883200.0,Europe
Gabon,57.72500038,9.711026668625,1816949.5454545454,Africa
Georgia,64.90769254307692,8.94405995876923,3752663.090909091,Europe
Germany,71.10461602,10.650631904615384,81610573.54545455,Europe
Ghana,54.625,8.12269485,26631854.454545453,Africa
Greece,71.6000003825,10.17701896,10945286.181818182,Europe
Guatemala,62.80769230769231,8.850690401538461,15043855.181818182,North America
Guinea,51.65000009625,7.497419834125,10969459.454545455,Africa
Guyana,57.25999832,8.577043533,760641.1818181818,South America
Haiti,47.04909064545455,7.383703405090909,10394174.636363637,North America
Honduras,65.9153847323077,8.335816383384614,8793173.090909092,North America
Hungary,65.9090909090909,10.07153277,9903007.363636363,Europe
Iceland,72.81999969499999,10.67408959,327928.0909090909,Europe
India,57.95384627076923,8.48523448069231,1279197901.3636363,Asia
Indonesia,60.89230757384616,9.122922457153846,251698798.9090909,Asia
Iraq,58.987999724,9.5572555541,33223135.818181816,Asia
Ireland,71.60166676749999,10.849314530000001,4652567.545454546,Europe
Israel,72.38461597153847,10.33163973,8081063.636363637,Asia
Italy,72.83230766923077,10.485382228461539,59950756.0,Europe
Jamaica,66.252000426,9.010945892399999,2858458.727272727,North America
Japan,74.16000014153846,10.51567217076923,127487545.45454545,Asia
Jordan,65.28153844923077,9.097459866384614,8406720.727272727,Asia
Kazakhstan,61.292307926153846,9.972829891384615,17046895.363636363,Asia
Kenya,56.05384650692307,7.873013679846154,45546349.09090909,Africa
Kosovo,63.715601285,9.036586674818182,1787942.9090909092,Europe
Kuwait,65.330000304,11.227860736,3471729.8181818184,Asia
Latvia,65.10000006416666,9.995376825666666,2029408.0909090908,Europe
Lebanon,65.5046146076923,9.552533883307692,5851843.818181818,Asia
Lesotho,46.54666646333334,7.897970835333333,2036137.0909090908,Africa
Liberia,52.94749927375,6.59850192075,4235865.363636363,Africa
Libya,62.371999362,9.77246976025,6343248.636363637,Africa
Lithuania,64.97692313461539,10.107635058923078,2978860.0,Europe
Luxembourg,72.213998411,11.433882999000001,545296.5454545454,Europe
Madagascar,57.036000061,7.2476871491,23029115.636363637,Africa
Malawi,52.55999963909091,6.937991012272727,15876963.636363637,Africa
Malaysia,65.80000027727273,10.008811603818181,29438368.545454547,Asia
Mali,49.188333192500004,7.539504766416667,16510628.454545455,Africa
Malta,71.937998199,10.34483009,435111.1818181818,Europe
Mauritania,55.30999978333333,8.156725963,3830287.909090909,Africa
Mauritius,65.66000061,9.856637000800001,1256892.4545454546,Africa
Mexico,67.00307699384615,9.707017898538462,118698525.0909091,North America
Moldova,62.22307674692308,8.365816263153846,2829891.090909091,Europe
Mongolia,60.91818167909091,9.192475058909091,2889212.4545454546,Asia
Montenegro,67.53636377454546,9.604349743272728,620677.2727272727,Europe
Morocco,64.70000028625,8.862796187375,33740120.63636363,Africa
Mozambique,49.06000028142857,6.871578284714286,25692449.545454547,Africa
Myanmar,58.04857199571428,8.517464910142857,51830472.0,Asia
Namibia,54.38500023,9.12257456775,2238688.4545454546,Africa
Nepal,59.784615736153846,7.646914372153846,27129393.90909091,Asia
Netherlands,71.58333333333333,10.744425614999999,16822000.727272727,Europe
New Zealand,72.25,10.4288194975,4518318.181818182,Oceania
Nicaragua,65.88461597076923,8.411732673692308,6064122.0,North America
Niger,50.24615361153846,6.746906390538461,18640744.363636363,Africa
Nigeria,46.99090923000001,8.536780357454544,172286184.27272728,Africa
Norway,72.49999904625,11.06864535875,5062428.7272727275,Europe
Oman,65.5,10.64831161,3768339.090909091,Asia
Pakistan,56.55384621230769,8.412500308153845,191543468.0,Asia
Panama,68.73076923076923,9.78613677376923,3840107.0,North America
Paraguay,64.61666679333334,8.93184534725,6513483.818181818,South America
Peru,66.66923053384616,9.26294202076923,29986224.09090909,South America
Philippines,60.95384627153847,8.720824315076923,98822875.27272727,Asia
Poland,67.60909132454546,10.031464749090908,38036780.09090909,Europe
Portugal,71.32363614181818,10.200863925454545,10445266.818181818,Europe
Qatar,67.18799896200001,11.72191887,2245650.909090909,Asia
Romania,65.71999994916666,9.862081765666668,19984639.636363637,Europe
Rwanda,57.212727287272735,7.3375463917272725,10855057.454545455,Africa
Saudi Arabia,64.84769263692307,10.778018144615384,29936047.545454547,Asia
Senegal,56.823076981538456,7.716239342461539,13841504.545454545,Africa
Serbia,66.78181735,9.487628676636364,7167956.0,Europe
Sierra Leone,45.10545453090909,7.183623270545454,6874386.636363637,Africa
Singapore,75.21333313000001,11.214671482727272,5332902.363636363,Asia
Slovenia,69.77272727272727,10.281543211818182,2055487.0909090908,Europe
South Africa,52.42307662923077,9.397474582307693,53721588.0,Africa
South Sudan,50.409999845,7.487881183333333,10152426.545454545,Africa
Spain,73.07846128076923,10.397789954615385,46530046.54545455,Europe
Sri Lanka,66.32499949083333,9.137228647833334,20712975.09090909,Asia
Sudan,54.331999968000005,8.2180471418,37213510.63636363,Africa
Suriname,62.24000168,9.624583244,546987.7272727273,South America
Sweden,72.0123085623077,10.694253849230769,9646957.909090908,Europe
Switzerland,73.02999973375,10.94450211625,8093233.818181818,Europe
Tajikistan,62.44166723916666,7.7301994959166676,8098703.545454546,Asia
Tanzania,53.54615372923077,7.721510960384616,48722746.54545455,Africa
Thailand,65.83846224153847,9.55897074476923,68077687.63636364,Asia
Togo,52.55500030625,7.182592094,6967189.090909091,Africa
Trinidad and Tobago,62.540000152000005,10.327441408,1352940.8181818181,North America
Tunisia,65.805999754,9.2670145035,10969354.909090908,Africa
Turkmenistan,60.82666651555556,9.517483711333334,5376530.363636363,Asia
Uganda,51.72307704153846,7.353104151153847,36062068.63636363,Africa
Ukraine,62.63076928923077,8.993583532461539,45441441.27272727,Europe
United Arab Emirates,66.50909077090908,11.081058936363636,8890851.0,Asia
United Kingdom,71.33999985846154,10.542613690769231,64162385.54545455,Europe
United States,68.48461562,10.84820123846154,315988284.8181818,North America
Uruguay,68.26153857923077,9.785182659384615,3391730.272727273,South America
Uzbekistan,63.59333292583333,8.486547390666667,30203536.363636363,Asia
Vietnam,66.83846165615385,8.483659157307692,90809745.54545455,Asia
Zambia,50.98333327,8.106403311,14993862.818181818,Africa
Zimbabwe,49.26923076923077,7.427388081230769,13370108.727272727,Africa
